19:29:52 | numexpr.utils        | INFO | NumExpr defaulting to 8 threads.
21:33:24 | numexpr.utils        | INFO | NumExpr defaulting to 8 threads.
21:33:24 | train_sentiment      | INFO | 
====================================================================
21:33:24 | train_sentiment      | INFO |   FinBERT Sentiment Fine-Tuning  —  Financial PhraseBank
21:33:24 | train_sentiment      | INFO |   Dataset : lmassaron/FinancialPhraseBank
21:33:24 | train_sentiment      | INFO | ====================================================================

21:33:24 | train_sentiment      | INFO | Device: Apple Silicon MPS
21:33:27 | utils.data_loader    | INFO | Downloading lmassaron/FinancialPhraseBank from Hugging Face (attempt 1/3) ...
21:33:27 | datasets.load        | ERROR | `trust_remote_code` is not supported anymore.
Please check that the Hugging Face dataset 'lmassaron/FinancialPhraseBank' isn't based on a loading script and remove `trust_remote_code`.
If the dataset is based on a loading script, please ask the dataset author to remove it and convert it to a standard format like Parquet.
21:33:28 | httpx                | INFO | HTTP Request: HEAD https://huggingface.co/datasets/lmassaron/FinancialPhraseBank/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
21:33:28 | httpx                | INFO | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/lmassaron/FinancialPhraseBank/06d8ade1cdb9050fa4e7cce7841054fc6eacf7ba/README.md "HTTP/1.1 200 OK"
21:33:28 | httpx                | INFO | HTTP Request: GET https://huggingface.co/api/resolve-cache/datasets/lmassaron/FinancialPhraseBank/06d8ade1cdb9050fa4e7cce7841054fc6eacf7ba/README.md "HTTP/1.1 200 OK"
21:33:28 | httpx                | INFO | HTTP Request: HEAD https://huggingface.co/datasets/lmassaron/FinancialPhraseBank/resolve/06d8ade1cdb9050fa4e7cce7841054fc6eacf7ba/FinancialPhraseBank.py "HTTP/1.1 404 Not Found"
21:33:28 | huggingface_hub.utils._http | WARNING | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
21:33:28 | httpx                | INFO | HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/lmassaron/FinancialPhraseBank/lmassaron/FinancialPhraseBank.py "HTTP/1.1 404 Not Found"
21:33:28 | httpx                | INFO | HTTP Request: GET https://huggingface.co/api/datasets/lmassaron/FinancialPhraseBank/revision/06d8ade1cdb9050fa4e7cce7841054fc6eacf7ba "HTTP/1.1 200 OK"
21:33:28 | httpx                | INFO | HTTP Request: HEAD https://huggingface.co/datasets/lmassaron/FinancialPhraseBank/resolve/06d8ade1cdb9050fa4e7cce7841054fc6eacf7ba/.huggingface.yaml "HTTP/1.1 404 Not Found"
21:33:28 | httpx                | INFO | HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=lmassaron/FinancialPhraseBank "HTTP/1.1 200 OK"
21:33:28 | httpx                | INFO | HTTP Request: GET https://huggingface.co/api/datasets/lmassaron/FinancialPhraseBank/tree/06d8ade1cdb9050fa4e7cce7841054fc6eacf7ba/data?recursive=true&expand=false "HTTP/1.1 200 OK"
21:33:28 | httpx                | INFO | HTTP Request: GET https://huggingface.co/api/datasets/lmassaron/FinancialPhraseBank/tree/06d8ade1cdb9050fa4e7cce7841054fc6eacf7ba?recursive=false&expand=false "HTTP/1.1 200 OK"
21:33:28 | httpx                | INFO | HTTP Request: HEAD https://huggingface.co/datasets/lmassaron/FinancialPhraseBank/resolve/06d8ade1cdb9050fa4e7cce7841054fc6eacf7ba/dataset_infos.json "HTTP/1.1 404 Not Found"
21:33:29 | httpx                | INFO | HTTP Request: HEAD https://huggingface.co/datasets/lmassaron/FinancialPhraseBank/resolve/06d8ade1cdb9050fa4e7cce7841054fc6eacf7ba/data/train-00000-of-00001.parquet "HTTP/1.1 302 Found"
21:33:29 | httpx                | INFO | HTTP Request: GET https://huggingface.co/api/datasets/lmassaron/FinancialPhraseBank/xet-read-token/06d8ade1cdb9050fa4e7cce7841054fc6eacf7ba "HTTP/1.1 200 OK"
